City,DNS_lookup,TCP_connect,Secure_connect,request,response,Time in MDT,Local_Time,Page_Load_Time
Johannesburg,4,4,1280,963,6,6:34:00 AM,2:34:00 PM,5.45
London,162,645,486,94,2,6:37:00 AM,1:37:00 PM,2.45
Cheyenne,4,228,174,195,3,6:40:00 AM,6:40:00 AM,2.31
Seattle,188,173,133,199,2,6:43:00 AM,5:43:00 AM,1.98
Sydney,1480,1050,793,608,3,6:46:00 AM,11:46:00 PM,3.26
Sao Paulo,647,796,600,515,3,6:49:00 AM,9:49:00 AM,2.52
Mumbai,727,991,746,576,2,6:52:00 AM,5:52:00 PM,3.26
Virginia,219,365,278,262,6,6:55:00 AM,8:55:00 AM,2.04
Dubai,1,1170,877,691,3,6:58:00 AM,4:58:00 PM,3.51
Johannesburg,1050,1280,961,720,4,7:01:00 AM,3:01:00 PM,4.88
Tokyo,536,649,490,445,5,7:04:00 AM,8:04:00 PM,3.04
London,196,646,489,449,2,7:07:00 AM,2:07:00 PM,2.62
Cheyenne,90,231,176,234,3,7:10:00 AM,7:10:00 AM,2.28
Seattle,239,171,131,204,2,7:13:00 AM,6:13:00 AM,2.08
Sydney,1000,993,747,585,2,7:16:00 AM,12:16:00 AM,3.23
Sao Paulo,650,796,600,519,2,7:19:00 AM,10:19:00 AM,3.1
Mumbai,731,1030,771,596,2,7:22:00 AM,6:22:00 PM,3.95
Virginia,288,358,272,259,3,7:25:00 AM,9:25:00 AM,2.08
Dubai,275,1130,850,650,2,7:28:00 AM,5:28:00 PM,3.54
Johannesburg,1160,1280,962,722,3,7:31:00 AM,3:31:00 PM,5.67
Tokyo,762,654,493,448,2,7:34:00 AM,8:34:00 PM,3.24
London,222,647,489,448,2,7:37:00 AM,2:37:00 PM,2.93
Cheyenne,237,230,175,236,2,7:40:00 AM,7:40:00 AM,2.42
Seattle,183,170,130,221,2,7:43:00 AM,6:43:00 AM,1.94
Sydney,1270,1050,788,602,2,7:46:00 AM,12:46:00 AM,3.31
Sao Paulo,643,811,611,485,2,7:49:00 AM,10:49:00 AM,3.42
Mumbai,746,996,750,577,2,7:52:00 AM,6:52:00 PM,3.95
Virginia,154,345,262,253,2,7:55:00 AM,9:55:00 AM,1.98
Dubai,1,1180,891,671,2,7:58:00 AM,5:58:00 PM,3.62
Johannesburg,4,1320,993,738,3,8:01:00 AM,4:01:00 PM,9.01
Tokyo,874,661,498,458,2,8:04:00 AM,9:04:00 PM,2.94
London,203,644,485,406,2,8:07:00 AM,3:07:00 PM,2.14
Cheyenne,87,229,175,210,2,8:10:00 AM,8:10:00 AM,2.08
Seattle,223,174,133,206,3,8:13:00 AM,7:13:00 AM,2.12
Sydney,1,1010,763,588,2,8:16:00 AM,1:16:00 AM,3.53
Sao Paulo,3,800,603,481,4,8:19:00 AM,11:19:00 AM,2.61
Mumbai,743,1030,772,599,2,8:22:00 AM,7:22:00 PM,3.26
Virginia,299,343,261,277,3,8:25:00 AM,10:25:00 AM,2
Dubai,1,1140,857,652,2,8:28:00 AM,6:28:00 PM,3.78
Johannesburg,1340,1340,1010,751,4,8:31:00 AM,4:31:00 PM,5.58
Tokyo,164,638,482,434,1,8:34:00 AM,9:34:00 PM,3.03
London,177,646,487,447,3,8:37:00 AM,3:37:00 PM,2.21
Cheyenne,90,230,176,205,3,8:40:00 AM,8:40:00 AM,2.07
Seattle,68,171,132,208,2,8:43:00 AM,7:43:00 AM,1.94
Sydney,2010,1030,778,597,3,8:46:00 AM,1:46:00 AM,3.28
Sao Paulo,645,794,598,515,2,8:49:00 AM,11:49:00 AM,3.84
Mumbai,806,1000,754,584,2,8:52:00 AM,7:52:00 PM,3.63
Virginia,268,353,268,299,3,8:55:00 AM,10:55:00 AM,2.31
Dubai,292,1180,884,670,3,8:58:00 AM,6:58:00 PM,5.18
Johannesburg,4040,1320,990,736,4,9:01:00 AM,5:01:00 PM,4.69
Tokyo,175,663,502,447,3,9:04:00 AM,10:04:00 PM,3.72
London,202,646,488,449,4,9:07:00 AM,4:07:00 PM,2.22
